:ID,actor,:LABEL
20000,连晋 Teddy Lin,actor
20001,阿德里安·柯兰 Adrian Curran,actor
20002,汉尼斯·赫尔曼 Hannes Hellmann,actor
20003,劳力 Li Lao,actor
20004,敦尔·当纳利 Donal Donnelly,actor
20005,凯利·基尔戈 Kelly Kilgour,actor
20006,贾森·加里-斯坦福德 Jason Gray-Stanford,actor
20007,马修·罗伯特·凯利 Matthew Robert Kelly,actor
20008,袁丁 Ding Yuan,actor
20009,梅·维贾 Meher Vij,actor
20010,里奥·伯梅斯特 Leo Burmester,actor
20011,古明华 Ming-Wah Koo,actor
20012,艾德·奥尼尔 Ed O&#39;Neill,actor
20013,黄磊 Lei Huang,actor
20014,霍华德·肖 Howard Shore,actor
20015,丸山凯伦 Karen Maruyama,actor
20016,李俊赫 Joon-Hyuk Lee,actor
20017,安德鲁·哈维尔 Andrew Havill,actor
20018,岩田光央 Mitsuo Iwata,actor
20019,克里斯·洛克 Chris Rock,actor
20020,本尼迪克特·康伯巴奇 Benedict Cumberbatch,actor
20021,菅谷政子 Masako Sugaya,actor
20022,威廉·斯米利 William Smillie,actor
20023,罗里·奥谢 Rory O&#39;Shea,actor
20024,阿曼达·普拉莫 Amanda Plummer,actor
20025,黑田亚瑟 Arthur Kuroda,actor
20026,罗伯特·摩根 Robert Morgan,actor
20027,加里·弗雷德里克森 Gray Frederickson,actor
20028,马野都留子 Tsuruko Mano,actor
20029,保拉 ·格林斯潘 Paula Grinszpan,actor
20030,詹妮弗·李·杰克逊 Jennifer Li Jackson,actor
20031,泰隆·鲍华 Tyrone Power,actor
20032,罗伯·莫洛 Rob Morrow,actor
20033,杰基·厄尔·哈利 Jackie Earle Haley,actor
20034,玛莎·温特沃思 Martha Wentworth,actor
20035,任素汐 Suxi Ren,actor
20036,雨笠利幸 Toshiyuki Amagasa,actor
20037,笹野高史 Takashi Sasano,actor
20038,丹尼·霍奇 Danny Hoch,actor
20039,韦奕波 Yibo Wei,actor
20040,大卫·兰斯布里 David Lansbury,actor
20041,约翰·克莱夫 John Clive,actor
20042,弗里德里克·贝希特 Friederike Becht,actor
20043,陈以文 Yiwen Chen,actor
20044,迈克·巴特斯 Mike Butters,actor
20045,丹妮尔·布里瑟布瓦 Danielle Brisebois,actor
20046,保拉·布鲁布尼 Paola Borboni,actor
20047,顾嘉辉 Joseph Koo,actor
20048,Lenny McLean,actor
20049,诺埃尔·达扎尔 Noël Darzal,actor
20050,瑞克·萨拉比亚 Ric Sarabia,actor
20051,张同祖 Tung Cho Cheung,actor
20052,高登·图托西斯 Gordon Tootoosis,actor
20053,大卫·哈雷伍德 David Harewood,actor
20054,弗兰克·威利 Frank Whaley,actor
20055,彼得·洛迈尔 Peter Lohmeyer,actor
20056,肯尼斯·以色列 Kenneth Israel,actor
20057,费奥纳·肖 Fiona Shaw,actor
20058,拉塞尔·布兰德 Russell Brand,actor
