:START_ID,:END_ID,:relation,:TYPE
22396,10113,cooperation,cooperation
20317,10113,cooperation,cooperation
20576,10113,cooperation,cooperation
23073,10113,cooperation,cooperation
20383,10113,cooperation,cooperation
20298,10113,cooperation,cooperation
22806,10113,cooperation,cooperation
22314,10113,cooperation,cooperation
23268,10113,cooperation,cooperation
20599,10113,cooperation,cooperation
21545,10113,cooperation,cooperation
23676,10113,cooperation,cooperation
23695,10113,cooperation,cooperation
20230,10113,cooperation,cooperation
20902,10113,cooperation,cooperation
24500,10113,cooperation,cooperation
20749,10113,cooperation,cooperation
24878,10113,cooperation,cooperation
20805,10113,cooperation,cooperation
20887,10113,cooperation,cooperation
20387,10113,cooperation,cooperation
23384,10113,cooperation,cooperation
22221,10113,cooperation,cooperation
23648,10113,cooperation,cooperation
20640,10113,cooperation,cooperation
23493,10172,cooperation,cooperation
21306,10172,cooperation,cooperation
24628,10172,cooperation,cooperation
21168,10172,cooperation,cooperation
21881,10172,cooperation,cooperation
23885,10172,cooperation,cooperation
20914,10172,cooperation,cooperation
22709,10172,cooperation,cooperation
24203,10172,cooperation,cooperation
21047,10172,cooperation,cooperation
23309,10172,cooperation,cooperation
20412,10172,cooperation,cooperation
23355,10172,cooperation,cooperation
23966,10172,cooperation,cooperation
23658,10172,cooperation,cooperation
20407,10172,cooperation,cooperation
25020,10172,cooperation,cooperation
23491,10172,cooperation,cooperation
20234,10172,cooperation,cooperation
21158,10172,cooperation,cooperation
20013,10172,cooperation,cooperation
21549,10172,cooperation,cooperation
20606,10172,cooperation,cooperation
21780,10172,cooperation,cooperation
21653,10172,cooperation,cooperation
20324,10172,cooperation,cooperation
21289,10055,cooperation,cooperation
21087,10055,cooperation,cooperation
24448,10055,cooperation,cooperation
20500,10055,cooperation,cooperation
24049,10055,cooperation,cooperation
22452,10055,cooperation,cooperation
22683,10055,cooperation,cooperation
20720,10055,cooperation,cooperation
22323,10055,cooperation,cooperation
22651,10055,cooperation,cooperation
23212,10055,cooperation,cooperation
24364,10055,cooperation,cooperation
23767,10055,cooperation,cooperation
20639,10055,cooperation,cooperation
24794,10055,cooperation,cooperation
23015,10055,cooperation,cooperation
23892,10055,cooperation,cooperation
22311,10055,cooperation,cooperation
24801,10055,cooperation,cooperation
23485,10055,cooperation,cooperation
22757,10055,cooperation,cooperation
21763,10055,cooperation,cooperation
24382,10055,cooperation,cooperation
21102,10055,cooperation,cooperation
23258,10055,cooperation,cooperation
21748,10055,cooperation,cooperation
22312,10055,cooperation,cooperation
23727,10055,cooperation,cooperation
21677,10055,cooperation,cooperation
24534,10055,cooperation,cooperation
22451,10055,cooperation,cooperation
24069,10055,cooperation,cooperation
21876,10055,cooperation,cooperation
23502,10055,cooperation,cooperation
20541,10055,cooperation,cooperation
24037,10055,cooperation,cooperation
22679,10055,cooperation,cooperation
23606,10055,cooperation,cooperation
22750,10055,cooperation,cooperation
20634,10055,cooperation,cooperation
24460,10055,cooperation,cooperation
20577,10055,cooperation,cooperation
20503,10055,cooperation,cooperation
20372,10055,cooperation,cooperation
24402,10055,cooperation,cooperation
22939,10055,cooperation,cooperation
21532,10055,cooperation,cooperation
21185,10055,cooperation,cooperation
20608,10055,cooperation,cooperation
21831,10055,cooperation,cooperation
24826,10055,cooperation,cooperation
23029,10093,cooperation,cooperation
22402,10093,cooperation,cooperation
23369,10093,cooperation,cooperation
23139,10093,cooperation,cooperation
22501,10093,cooperation,cooperation
22220,10093,cooperation,cooperation
21160,10093,cooperation,cooperation
24977,10093,cooperation,cooperation
21079,10093,cooperation,cooperation
24245,10093,cooperation,cooperation
20393,10093,cooperation,cooperation
24061,10093,cooperation,cooperation
23016,10093,cooperation,cooperation
22811,10093,cooperation,cooperation
23349,10093,cooperation,cooperation
20188,10093,cooperation,cooperation
23700,10093,cooperation,cooperation
23195,10093,cooperation,cooperation
23950,10093,cooperation,cooperation
22101,10093,cooperation,cooperation
23864,10097,cooperation,cooperation
23447,10097,cooperation,cooperation
25112,10097,cooperation,cooperation
23919,10097,cooperation,cooperation
23037,10097,cooperation,cooperation
23421,10097,cooperation,cooperation
21045,10097,cooperation,cooperation
21957,10097,cooperation,cooperation
22215,10097,cooperation,cooperation
22673,10097,cooperation,cooperation
21542,10097,cooperation,cooperation
23922,10097,cooperation,cooperation
22990,10097,cooperation,cooperation
25119,10097,cooperation,cooperation
23634,10097,cooperation,cooperation
21315,10097,cooperation,cooperation
22190,10097,cooperation,cooperation
24165,10097,cooperation,cooperation
21513,10097,cooperation,cooperation
20002,10097,cooperation,cooperation
21746,10097,cooperation,cooperation
23519,10097,cooperation,cooperation
23886,10097,cooperation,cooperation
22962,10097,cooperation,cooperation
22400,10097,cooperation,cooperation
20574,10097,cooperation,cooperation
20987,10097,cooperation,cooperation
22101,10097,cooperation,cooperation
20501,10097,cooperation,cooperation
20473,10115,cooperation,cooperation
22341,10115,cooperation,cooperation
24097,10115,cooperation,cooperation
24224,10115,cooperation,cooperation
24318,10115,cooperation,cooperation
22295,10115,cooperation,cooperation
20772,10115,cooperation,cooperation
20400,10115,cooperation,cooperation
23701,10115,cooperation,cooperation
23920,10115,cooperation,cooperation
21162,10115,cooperation,cooperation
21698,10115,cooperation,cooperation
