:START_ID,:END_ID,:relation,:TYPE
0,10113,directed,directed
1,10172,directed,directed
2,10055,directed,directed
3,10093,directed,directed
4,10097,directed,directed
5,10115,directed,directed
6,10032,directed,directed
7,10061,directed,directed
8,10158,directed,directed
9,10014,directed,directed
10,10063,directed,directed
11,10023,directed,directed
12,10133,directed,directed
13,10156,directed,directed
14,10186,directed,directed
15,10158,directed,directed
16,10008,directed,directed
17,10137,directed,directed
18,10022,directed,directed
18,10128,directed,directed
18,10120,directed,directed
19,10062,directed,directed
19,10047,directed,directed
20,10032,directed,directed
21,10000,directed,directed
22,10125,directed,directed
23,10087,directed,directed
24,10106,directed,directed
24,10205,directed,directed
25,10154,directed,directed
26,10158,directed,directed
27,10175,directed,directed
28,10134,directed,directed
28,10053,directed,directed
29,10079,directed,directed
29,10142,directed,directed
29,10089,directed,directed
30,10169,directed,directed
31,10084,directed,directed
32,10019,directed,directed
33,10044,directed,directed
34,10139,directed,directed
35,10167,directed,directed
35,10085,directed,directed
36,10204,directed,directed
37,10064,directed,directed
38,10174,directed,directed
39,10032,directed,directed
40,10032,directed,directed
41,10008,directed,directed
42,10063,directed,directed
43,10050,directed,directed
44,10126,directed,directed
45,10149,directed,directed
46,10029,directed,directed
47,10168,directed,directed
48,10178,directed,directed
49,10023,directed,directed
50,10000,directed,directed
51,10127,directed,directed
51,10013,directed,directed
52,10019,directed,directed
53,10182,directed,directed
53,10124,directed,directed
54,10070,directed,directed
55,10061,directed,directed
56,10019,directed,directed
57,10151,directed,directed
58,10059,directed,directed
59,10036,directed,directed
60,10139,directed,directed
61,10110,directed,directed
61,10016,directed,directed
62,10003,directed,directed
63,10178,directed,directed
64,10064,directed,directed
64,10064,directed,directed
66,10135,directed,directed
67,10063,directed,directed
68,10109,directed,directed
69,10157,directed,directed
70,10061,directed,directed
71,10108,directed,directed
72,10020,directed,directed
73,10057,directed,directed
74,10031,directed,directed
75,10071,directed,directed
76,10116,directed,directed
77,10158,directed,directed
78,10068,directed,directed
79,10178,directed,directed
80,10179,directed,directed
81,10048,directed,directed
81,10096,directed,directed
82,10159,directed,directed
83,10027,directed,directed
84,10039,directed,directed
85,10177,directed,directed
86,10072,directed,directed
87,10115,directed,directed
88,10183,directed,directed
89,10187,directed,directed
90,10119,directed,directed
91,10146,directed,directed
91,10082,directed,directed
92,10046,directed,directed
93,10129,directed,directed
94,10041,directed,directed
95,10139,directed,directed
96,10090,directed,directed
97,10009,directed,directed
98,10199,directed,directed
99,10005,directed,directed
100,10032,directed,directed
101,10064,directed,directed
102,10002,directed,directed
103,10027,directed,directed
104,10161,directed,directed
105,10004,directed,directed
106,10193,directed,directed
107,10030,directed,directed
108,10178,directed,directed
109,10002,directed,directed
110,10067,directed,directed
111,10196,directed,directed
112,10035,directed,directed
113,10082,directed,directed
114,10092,directed,directed
115,10024,directed,directed
116,10121,directed,directed
117,10158,directed,directed
118,10072,directed,directed
119,10138,directed,directed
120,10123,directed,directed
121,10187,directed,directed
122,10006,directed,directed
123,10086,directed,directed
124,10008,directed,directed
125,10171,directed,directed
125,10033,directed,directed
126,10200,directed,directed
126,10054,directed,directed
127,10042,directed,directed
128,10061,directed,directed
129,10185,directed,directed
130,10067,directed,directed
131,10144,directed,directed
132,10060,directed,directed
133,10146,directed,directed
134,10197,directed,directed
134,10058,directed,directed
135,10167,directed,directed
135,10043,directed,directed
135,10134,directed,directed
136,10140,directed,directed
137,10134,directed,directed
138,10194,directed,directed
139,10119,directed,directed
140,10032,directed,directed
141,10132,directed,directed
141,10077,directed,directed
141,10111,directed,directed
141,10147,directed,directed
141,10103,directed,directed
142,10088,directed,directed
143,10000,directed,directed
144,10130,directed,directed
144,10081,directed,directed
145,10166,directed,directed
146,10139,directed,directed
147,10068,directed,directed
148,10180,directed,directed
148,10132,directed,directed
148,10181,directed,directed
149,10069,directed,directed
150,10012,directed,directed
151,10203,directed,directed
152,10052,directed,directed
153,10153,directed,directed
154,10170,directed,directed
155,10061,directed,directed
156,10017,directed,directed
157,10012,directed,directed
158,10164,directed,directed
158,10033,directed,directed
159,10066,directed,directed
160,10206,directed,directed
161,10045,directed,directed
162,10192,directed,directed
163,10143,directed,directed
164,10015,directed,directed
165,10105,directed,directed
166,10088,directed,directed
167,10131,directed,directed
167,10001,directed,directed
168,10094,directed,directed
169,10027,directed,directed
170,10158,directed,directed
171,10027,directed,directed
172,10018,directed,directed
173,10010,directed,directed
174,10202,directed,directed
175,10149,directed,directed
176,10110,directed,directed
176,10016,directed,directed
177,10191,directed,directed
178,10167,directed,directed
178,10160,directed,directed
179,10030,directed,directed
180,10099,directed,directed
181,10073,directed,directed
182,10188,directed,directed
183,10128,directed,directed
184,10006,directed,directed
185,10141,directed,directed
185,10038,directed,directed
186,10026,directed,directed
187,10011,directed,directed
188,10040,directed,directed
189,10162,directed,directed
190,10184,directed,directed
191,10034,directed,directed
192,10095,directed,directed
193,10032,directed,directed
194,10107,directed,directed
195,10102,directed,directed
195,10189,directed,directed
196,10173,directed,directed
197,10061,directed,directed
198,10113,directed,directed
199,10006,directed,directed
200,10067,directed,directed
201,10069,directed,directed
202,10115,directed,directed
203,10152,directed,directed
203,10176,directed,directed
204,10076,directed,directed
204,10145,directed,directed
205,10049,directed,directed
205,10083,directed,directed
206,10104,directed,directed
207,10150,directed,directed
208,10098,directed,directed
209,10183,directed,directed
210,10078,directed,directed
211,10196,directed,directed
212,10136,directed,directed
213,10068,directed,directed
214,10139,directed,directed
215,10037,directed,directed
216,10028,directed,directed
217,10101,directed,directed
218,10027,directed,directed
219,10087,directed,directed
220,10065,directed,directed
221,10203,directed,directed
222,10098,directed,directed
223,10025,directed,directed
224,10080,directed,directed
225,10198,directed,directed
226,10091,directed,directed
227,10051,directed,directed
228,10006,directed,directed
229,10163,directed,directed
230,10131,directed,directed
231,10114,directed,directed
232,10190,directed,directed
233,10201,directed,directed
234,10117,directed,directed
235,10007,directed,directed
236,10165,directed,directed
237,10056,directed,directed
238,10118,directed,directed
239,10148,directed,directed
239,10074,directed,directed
240,10158,directed,directed
241,10100,directed,directed
242,10198,directed,directed
243,10021,directed,directed
244,10075,directed,directed
244,10122,directed,directed
245,10112,directed,directed
246,10155,directed,directed
247,10195,directed,directed
248,10150,directed,directed
249,10110,directed,directed
249,10016,directed,directed
