:ID,director,:LABEL
10000,弗朗西斯·福特·科波拉 Francis Ford Coppola,director
10001,洛芙琳·坦丹 Loveleen Tandan,director
10002,森淳一 Junichi Mori,director
10003,米洛斯·福尔曼 Miloš Forman,director
10004,李焕庆 Hwan-kyeong Lee,director
10005,卢卡·瓜达尼诺 Luca Guadagnino,director
10006,是枝裕和 Hirokazu Koreeda,director
10007,卡比尔·汗 Kabir Khan,director
10008,刘镇伟 Jeffrey Lau,director
10009,奉俊昊 Joon-ho Bong,director
10010,达伦·阿伦诺夫斯基 Darren Aronofsky,director
10011,阿尔弗雷德·希区柯克 Alfred Hitchcock,director
10012,吴宇森 John Woo,director
10013,罗伯·明可夫 Rob Minkoff,director
10014,拉斯·霍尔斯道姆 Lasse Hallström,director
10015,特瑞·乔治 Terry George,director
10016,拉娜·沃卓斯基 Lana Wachowski,director
10017,阿方索·卡隆 Alfonso Cuarón,director
10018,达米恩·查泽雷 Damien Chazelle,director
10019,彼得·杰克逊 Peter Jackson,director
10020,岩井俊二 Shunji Iwai,director
10021,阿斯哈·法哈蒂 Asghar Farhadi,director
10022,拜伦·霍华德 Byron Howard,director
10023,彼得·威尔 Peter Weir,director
10024,亚当·艾略特 Adam Elliot,director
10025,黄信尧 Hsin-yao Huang,director
10026,尼克·卡萨维蒂 Nick Cassavetes,director
10027,王家卫 Kar Wai Wong,director
10028,邓肯·琼斯 Duncan Jones,director
10029,杨宇硕 Woo-seok Yang,director
10030,今敏 Satoshi Kon,director
10031,阿兰·葛斯彭纳 Alain Gsponer,director
10032,宫崎骏 Hayao Miyazaki,director
10033,克里斯·桑德斯 Chris Sanders,director
10034,克里斯托弗·史密斯 Christopher Smith,director
10035,近藤喜文 Yoshifumi Kondo,director
10036,朗·霍华德 Ron Howard,director
10037,保罗·杰诺维塞 Paolo Genovese,director
10038,克里斯·韦奇 Chris Wedge,director
10039,格斯·范·桑特 Gus Van Sant,director
10040,郭柯 Ke Guo,director
10041,戈尔·维宾斯基 Gore Verbinski,director
10042,米林宏昌 Hiromasa Yonebayashi,director
10043,大卫·斯沃曼 David Silverman,director
10044,娜丁·拉巴基 Nadine Labaki,director
10045,让-马克·瓦雷 Jean-Marc Vallée,director
10046,让-皮埃尔·热内 Jean-Pierre Jeunet,director
10047,麦兆辉 Alan Mak,director
10048,埃里克·布雷斯 Eric Bress,director
10049,茂文·勒鲁瓦 Mervyn LeRoy,director
10050,威廉·惠勒 William Wyler,director
10051,乔治·米勒 George Miller,director
10052,罗启锐 Alex Law,director
10053,阿德里安·莫利纳 Adrian Molina,director
10054,克里斯·威廉姆斯 Chris Williams,director
10055,罗伯特·泽米吉斯 Robert Zemeckis,director
10056,小津安二郎 Yasujirô Ozu,director
10057,马克·赫尔曼 Mark Herman,director
10058,克里斯·雷纳德 Chris Renaud,director
10059,盖·里奇 Guy Ritchie,director
