:START_ID,:END_ID,relation,:TYPE
2003,3113,cooperate,cooperate
2003,3015,cooperate,cooperate
2055,3098,cooperate,cooperate
2055,3012,cooperate,cooperate
2015,3135,cooperate,cooperate
2015,3043,cooperate,cooperate
2008,3133,cooperate,cooperate
2008,3016,cooperate,cooperate
2044,3052,cooperate,cooperate
2044,3112,cooperate,cooperate
2013,3114,cooperate,cooperate
2013,3003,cooperate,cooperate
2002,3036,cooperate,cooperate
2002,3084,cooperate,cooperate
2055,3144,cooperate,cooperate
2055,3067,cooperate,cooperate
2059,3167,cooperate,cooperate
2059,3139,cooperate,cooperate
2053,3025,cooperate,cooperate
2053,3160,cooperate,cooperate
2075,3154,cooperate,cooperate
2075,3049,cooperate,cooperate
2038,3131,cooperate,cooperate
2038,3070,cooperate,cooperate
2065,3137,cooperate,cooperate
2065,3105,cooperate,cooperate
2062,3055,cooperate,cooperate
2062,3056,cooperate,cooperate
2027,3050,cooperate,cooperate
2027,3110,cooperate,cooperate
2000,3098,cooperate,cooperate
2000,3172,cooperate,cooperate
2023,3057,cooperate,cooperate
2023,3126,cooperate,cooperate
2025,3065,cooperate,cooperate
2025,3026,cooperate,cooperate
2053,3160,cooperate,cooperate
2053,3065,cooperate,cooperate
2073,3037,cooperate,cooperate
2073,3103,cooperate,cooperate
2028,3162,cooperate,cooperate
2028,3001,cooperate,cooperate
2000,3138,cooperate,cooperate
2000,3018,cooperate,cooperate
2075,3156,cooperate,cooperate
2075,3095,cooperate,cooperate
2001,3141,cooperate,cooperate
2001,3074,cooperate,cooperate
2055,3023,cooperate,cooperate
2055,3099,cooperate,cooperate
2055,3144,cooperate,cooperate
2055,3004,cooperate,cooperate
2048,3029,cooperate,cooperate
2048,3092,cooperate,cooperate
2039,3146,cooperate,cooperate
2039,3007,cooperate,cooperate
2040,3066,cooperate,cooperate
2040,3041,cooperate,cooperate
2056,3118,cooperate,cooperate
2056,3120,cooperate,cooperate
2032,3152,cooperate,cooperate
2032,3132,cooperate,cooperate
2030,3108,cooperate,cooperate
2030,3071,cooperate,cooperate
2030,3005,cooperate,cooperate
2041,3000,cooperate,cooperate
2041,3085,cooperate,cooperate
2005,3134,cooperate,cooperate
2005,3009,cooperate,cooperate
2051,3127,cooperate,cooperate
2051,3078,cooperate,cooperate
2054,3158,cooperate,cooperate
2054,3035,cooperate,cooperate
2027,3051,cooperate,cooperate
2027,3073,cooperate,cooperate
2074,3044,cooperate,cooperate
2074,3148,cooperate,cooperate
2027,3011,cooperate,cooperate
2027,3089,cooperate,cooperate
2036,3006,cooperate,cooperate
2036,3166,cooperate,cooperate
2021,3103,cooperate,cooperate
2021,3109,cooperate,cooperate
2031,3082,cooperate,cooperate
2031,3014,cooperate,cooperate
2024,3068,cooperate,cooperate
2024,3115,cooperate,cooperate
2029,3159,cooperate,cooperate
2029,3059,cooperate,cooperate
2011,3096,cooperate,cooperate
2011,3008,cooperate,cooperate
2047,3060,cooperate,cooperate
2047,3163,cooperate,cooperate
2067,3171,cooperate,cooperate
2067,3058,cooperate,cooperate
2005,3134,cooperate,cooperate
2005,3170,cooperate,cooperate
2018,3157,cooperate,cooperate
2018,3076,cooperate,cooperate
2065,3135,cooperate,cooperate
2065,3142,cooperate,cooperate
2046,3033,cooperate,cooperate
2046,3046,cooperate,cooperate
2016,3075,cooperate,cooperate
2016,3061,cooperate,cooperate
2033,3064,cooperate,cooperate
2033,3093,cooperate,cooperate
2022,3160,cooperate,cooperate
2022,3100,cooperate,cooperate
2017,3063,cooperate,cooperate
2017,3090,cooperate,cooperate
2064,3102,cooperate,cooperate
2064,3168,cooperate,cooperate
2034,3125,cooperate,cooperate
2034,3022,cooperate,cooperate
2026,3122,cooperate,cooperate
2026,3124,cooperate,cooperate
2042,3141,cooperate,cooperate
2042,3039,cooperate,cooperate
2027,3088,cooperate,cooperate
2027,3019,cooperate,cooperate
2007,3111,cooperate,cooperate
2007,3024,cooperate,cooperate
2010,3161,cooperate,cooperate
2010,3077,cooperate,cooperate
2045,3038,cooperate,cooperate
2045,3145,cooperate,cooperate
2060,3097,cooperate,cooperate
2060,3123,cooperate,cooperate
2052,3106,cooperate,cooperate
2052,3062,cooperate,cooperate
2028,3162,cooperate,cooperate
2028,3010,cooperate,cooperate
2006,3096,cooperate,cooperate
2006,3027,cooperate,cooperate
2061,3128,cooperate,cooperate
2061,3013,cooperate,cooperate
2009,3021,cooperate,cooperate
2009,3149,cooperate,cooperate
2004,3002,cooperate,cooperate
2004,3040,cooperate,cooperate
2021,3103,cooperate,cooperate
2021,3122,cooperate,cooperate
2066,3079,cooperate,cooperate
2066,3104,cooperate,cooperate
2068,3030,cooperate,cooperate
2068,3151,cooperate,cooperate
2071,3147,cooperate,cooperate
2071,3150,cooperate,cooperate
2023,3126,cooperate,cooperate
2023,3143,cooperate,cooperate
2023,3126,cooperate,cooperate
