:START_ID,:END_ID,relation,:TYPE
3113,1000,acted,acted
3015,1000,acted,acted
3098,1001,acted,acted
3012,1001,acted,acted
3135,1002,acted,acted
3043,1002,acted,acted
3133,1003,acted,acted
3016,1003,acted,acted
3052,1004,acted,acted
3112,1004,acted,acted
3114,1005,acted,acted
3003,1005,acted,acted
3036,1006,acted,acted
3084,1006,acted,acted
3144,1007,acted,acted
3067,1007,acted,acted
3167,1008,acted,acted
3139,1008,acted,acted
3025,1009,acted,acted
3160,1009,acted,acted
3154,1010,acted,acted
3049,1010,acted,acted
3131,1011,acted,acted
3070,1011,acted,acted
3137,1012,acted,acted
3105,1012,acted,acted
3055,1013,acted,acted
3056,1013,acted,acted
3050,1014,acted,acted
3110,1014,acted,acted
3098,1015,acted,acted
3172,1015,acted,acted
3057,1016,acted,acted
3126,1016,acted,acted
3065,1017,acted,acted
3026,1017,acted,acted
3160,1018,acted,acted
3065,1018,acted,acted
3037,1019,acted,acted
3103,1019,acted,acted
3162,1020,acted,acted
3001,1020,acted,acted
3138,1021,acted,acted
3018,1021,acted,acted
3156,1022,acted,acted
3095,1022,acted,acted
3141,1023,acted,acted
3074,1023,acted,acted
3023,1024,acted,acted
3099,1024,acted,acted
3144,1025,acted,acted
3004,1025,acted,acted
3029,1026,acted,acted
3092,1026,acted,acted
3146,1027,acted,acted
3007,1027,acted,acted
3066,1028,acted,acted
3041,1028,acted,acted
3118,1029,acted,acted
3120,1029,acted,acted
3152,1030,acted,acted
3132,1030,acted,acted
3108,1031,acted,acted
3071,1031,acted,acted
3005,1031,acted,acted
3000,1032,acted,acted
3085,1032,acted,acted
3134,1033,acted,acted
3009,1033,acted,acted
3127,1034,acted,acted
3078,1034,acted,acted
3158,1035,acted,acted
3035,1035,acted,acted
3051,1036,acted,acted
3073,1036,acted,acted
3044,1037,acted,acted
3148,1037,acted,acted
3011,1038,acted,acted
3089,1038,acted,acted
3006,1039,acted,acted
3166,1039,acted,acted
3103,1040,acted,acted
3109,1040,acted,acted
3082,1041,acted,acted
3014,1041,acted,acted
3068,1042,acted,acted
3115,1042,acted,acted
3159,1043,acted,acted
3059,1043,acted,acted
3096,1044,acted,acted
3008,1044,acted,acted
3060,1045,acted,acted
3163,1045,acted,acted
3171,1046,acted,acted
3058,1046,acted,acted
3134,1047,acted,acted
3170,1047,acted,acted
3157,1048,acted,acted
3076,1048,acted,acted
3135,1049,acted,acted
3142,1049,acted,acted
3033,1050,acted,acted
3046,1050,acted,acted
3075,1051,acted,acted
3061,1051,acted,acted
3064,1052,acted,acted
3093,1052,acted,acted
3160,1053,acted,acted
3100,1053,acted,acted
3063,1054,acted,acted
3090,1054,acted,acted
3102,1055,acted,acted
3168,1055,acted,acted
3125,1056,acted,acted
3022,1056,acted,acted
3122,1057,acted,acted
3124,1057,acted,acted
3141,1058,acted,acted
3039,1058,acted,acted
3088,1059,acted,acted
3019,1059,acted,acted
3111,1060,acted,acted
3024,1060,acted,acted
3161,1061,acted,acted
3077,1061,acted,acted
3038,1062,acted,acted
3145,1062,acted,acted
3097,1063,acted,acted
3123,1063,acted,acted
3106,1064,acted,acted
3062,1064,acted,acted
3162,1065,acted,acted
3010,1065,acted,acted
3096,1066,acted,acted
3027,1066,acted,acted
3128,1067,acted,acted
3013,1067,acted,acted
3021,1068,acted,acted
3149,1068,acted,acted
3002,1069,acted,acted
3040,1069,acted,acted
3103,1070,acted,acted
3122,1070,acted,acted
3079,1071,acted,acted
3104,1071,acted,acted
3030,1072,acted,acted
3151,1072,acted,acted
3147,1073,acted,acted
3150,1073,acted,acted
3126,1074,acted,acted
3143,1074,acted,acted
3126,1075,acted,acted
3015,1075,acted,acted
3101,1076,acted,acted
3140,1076,acted,acted
3165,1077,acted,acted
3017,1077,acted,acted
3080,1078,acted,acted
3155,1078,acted,acted
3119,1079,acted,acted
3034,1079,acted,acted
3084,1080,acted,acted
3164,1080,acted,acted
3153,1081,acted,acted
3042,1081,acted,acted
3053,1082,acted,acted
3117,1082,acted,acted
3087,1083,acted,acted
3048,1083,acted,acted
3084,1084,acted,acted
3169,1084,acted,acted
3054,1085,acted,acted
3094,1085,acted,acted
3081,1086,acted,acted
3116,1086,acted,acted
3045,1087,acted,acted
3130,1087,acted,acted
3126,1088,acted,acted
3048,1088,acted,acted
3086,1089,acted,acted
3020,1089,acted,acted
3121,1090,acted,acted
3072,1090,acted,acted
3091,1091,acted,acted
3047,1091,acted,acted
3107,1092,acted,acted
3069,1092,acted,acted
3083,1093,acted,acted
3031,1093,acted,acted
3167,1094,acted,acted
3017,1094,acted,acted
3135,1095,acted,acted
3028,1095,acted,acted
3129,1096,acted,acted
3036,1096,acted,acted
3065,1097,acted,acted
3136,1097,acted,acted
3022,1098,acted,acted
3032,1098,acted,acted
3022,1099,acted,acted
3032,1099,acted,acted
