:START_ID,:END_ID,relation,:TYPE
2003,1000,directed,directed
2055,1001,directed,directed
2015,1002,directed,directed
2008,1003,directed,directed
2044,1004,directed,directed
2013,1005,directed,directed
2002,1006,directed,directed
2055,1007,directed,directed
2059,1008,directed,directed
2053,1009,directed,directed
2075,1010,directed,directed
2038,1011,directed,directed
2065,1012,directed,directed
2062,1013,directed,directed
2027,1014,directed,directed
2000,1015,directed,directed
2023,1016,directed,directed
2025,1017,directed,directed
2053,1018,directed,directed
2073,1019,directed,directed
2028,1020,directed,directed
2000,1021,directed,directed
2075,1022,directed,directed
2001,1023,directed,directed
2055,1024,directed,directed
2055,1025,directed,directed
2048,1026,directed,directed
2039,1027,directed,directed
2040,1028,directed,directed
2056,1029,directed,directed
2032,1030,directed,directed
2030,1031,directed,directed
2041,1032,directed,directed
2005,1033,directed,directed
2051,1034,directed,directed
2054,1035,directed,directed
2027,1036,directed,directed
2074,1037,directed,directed
2027,1038,directed,directed
2036,1039,directed,directed
2021,1040,directed,directed
2031,1041,directed,directed
2024,1042,directed,directed
2029,1043,directed,directed
2011,1044,directed,directed
2047,1045,directed,directed
2067,1046,directed,directed
2005,1047,directed,directed
2018,1048,directed,directed
2065,1049,directed,directed
2046,1050,directed,directed
2016,1051,directed,directed
2033,1052,directed,directed
2022,1053,directed,directed
2017,1054,directed,directed
2064,1055,directed,directed
2034,1056,directed,directed
2026,1057,directed,directed
2042,1058,directed,directed
2027,1059,directed,directed
2007,1060,directed,directed
2010,1061,directed,directed
2045,1062,directed,directed
2060,1063,directed,directed
2052,1064,directed,directed
2028,1065,directed,directed
2006,1066,directed,directed
2061,1067,directed,directed
2009,1068,directed,directed
2004,1069,directed,directed
2021,1070,directed,directed
2066,1071,directed,directed
2068,1072,directed,directed
2071,1073,directed,directed
2023,1074,directed,directed
2023,1075,directed,directed
2014,1076,directed,directed
2057,1077,directed,directed
2034,1078,directed,directed
2019,1079,directed,directed
2010,1080,directed,directed
2043,1081,directed,directed
2071,1082,directed,directed
2072,1083,directed,directed
2070,1084,directed,directed
2058,1085,directed,directed
2018,1086,directed,directed
2045,1087,directed,directed
2020,1088,directed,directed
2012,1089,directed,directed
2021,1090,directed,directed
2035,1091,directed,directed
2063,1092,directed,directed
2037,1093,directed,directed
2050,1094,directed,directed
2003,1095,directed,directed
2002,1096,directed,directed
2049,1097,directed,directed
2069,1098,directed,directed
2069,1099,directed,directed
